Symbol,Sector,ListedIn,LDCP,Open,High,Low,Current,Change,ChangePct,Volume
SYS,0828,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,NBPPGI,NITPGI,UPP9",124.54,124.89,129.0,124.69,127.72,3.18,2.55%,2725974
SLGL,0833,"ALLSHR,KMIALLSHR",15.07,15.48,15.62,15.07,15.44,0.37,2.46%,2414633
ITANZ,0828,"ALLSHR,KMIALLSHR",39.54,39.25,39.5,37.51,38.22,-1.32,-3.34%,2299195
DSIL,0830,ALLSHR,10.42,10.42,10.45,9.7,9.96,-0.46,-4.41%,2277312
EPCLPS,0805,ALLSHR,12.66,12.65,13.8,12.65,13.74,1.08,8.53%,2267781
OBOY,0821,ALLSHR,18.07,18.25,18.5,17.98,18.01,-0.06,-0.33%,2226963
BERG,0805,"ALLSHR,KMIALLSHR",158.27,158.4,174.1,156.0,174.1,15.83,10.00%,2090816
DSLNC,0808,"ALLSHR,KMIALLSHR",4.87,4.87,5.05,4.74,4.76,-0.11,-2.26%,2078525
SNGP,0821,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",101.86,101.9,102.98,100.91,101.71,-0.15,-0.15%,2055204
CSAP,0808,"ACI,ALLSHR,KMIALLSHR,PSXDIV20",102.37,102.37,104.89,100.5,101.03,-1.34,-1.31%,2009950
ENGROH,0813,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,UPP9",264.86,269.0,273.5,266.02,267.62,2.76,1.04%,1994082
AICL,0812,"ALLSHR,KSE100,KSE100PR",94.11,94.89,98.0,90.51,93.28,-0.83,-0.88%,1981415
CLVL,0833,ALLSHR,41.17,40.0,45.29,38.1,45.29,4.12,10.01%,1948869
TRG,0828,"ALLSHR,KSE100,KSE100PR",56.64,56.7,56.7,55.39,55.51,-1.13,-1.99%,1869432
AHCL,0809,"ALLSHR,KSE100,KSE100PR,PSXDIV20",16.21,16.31,16.35,15.97,16.02,-0.19,-1.17%,1796551
STLR,0828,ALLSHR,13.05,12.5,13.0,12.5,12.92,-0.13,-1.00%,1784101
FANM,0819,"ALLSHR,KMIALLSHR",10.21,10.25,11.22,9.23,10.39,0.18,1.76%,1750558
PACE,0838,ALLSHR,10.25,10.29,10.4,10.25,10.32,0.07,0.68%,1737896
FIBLM,0819,"ALLSHR,KMIALLSHR",17.0,16.0,18.7,15.5,18.39,1.39,8.18%,1630132
DGKC,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",209.58,210.0,211.0,207.2,207.81,-1.77,-0.84%,1629093
SLM,0802,"ALLSHR,KMIALLSHR",24.05,24.05,24.13,24.0,24.02,-0.03,-0.12%,1628060
FPJM,0819,"ALLSHR,KMIALLSHR",21.25,19.31,23.38,19.13,23.38,2.13,10.02%,1615655
SPSL,0821,"ALLSHR,KMIALLSHR",16.22,16.25,16.36,16.2,16.26,0.04,0.25%,1571414
WASL,0819,"ALLSHR,KMIALLSHR",6.79,6.83,6.9,6.6,6.63,-0.16,-2.36%,1462386
CLOV,0810,"ALLSHR,KMIALLSHR",6.74,6.79,6.81,6.6,6.62,-0.12,-1.78%,1451404
HUBC,0824,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,PSXDIV20,UPP9",209.67,209.69,210.45,208.98,209.45,-0.22,-0.10%,1373046
FFL,0810,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",15.61,15.65,15.7,15.46,15.5,-0.11,-0.70%,1372635
SEARL,0823,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",86.76,86.9,88.2,85.85,85.99,-0.77,-0.89%,1367800
SYM,0828,"ALLSHR,KMIALLSHR",12.7,12.7,13.11,12.65,12.84,0.14,1.10%,1364982
PIAHCLA,0813,ALLSHR,25.36,25.62,25.62,25.06,25.27,-0.09,-0.36%,1339524
FCL,0803,"ALLSHR,KMIALLSHR",27.79,27.95,27.95,27.05,27.36,-0.43,-1.55%,1329963
ATRL,0825,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",1197.49,1199.0,1220.0,1178.0,1190.45,-7.04,-0.59%,1291602
SGPL,0824,"ALLSHR,KMIALLSHR",30.96,30.96,31.5,28.2,28.74,-2.22,-7.17%,1254714
NETSOL,0828,"ALLSHR,KMIALLSHR",126.55,126.61,128.0,121.52,122.1,-4.45,-3.52%,1212684
ASL,0808,"ACI,ALLSHR,KMIALLSHR",14.07,14.01,14.25,13.85,14.04,-0.03,-0.21%,1200445
LSEFSL,0813,ALLSHR,2.74,2.85,3.02,2.7,2.73,-0.01,-0.36%,1156694
UCAPM,0819,ALLSHR,6.4,6.32,7.0,6.3,6.63,0.23,3.59%,1123468
MACFL,0822,"ALLSHR,KMIALLSHR",58.32,58.6,60.3,56.33,56.9,-1.42,-2.43%,1120909
BNL,0810,"ALLSHR,KMIALLSHR",6.22,6.24,6.3,6.18,6.2,-0.02,-0.32%,1110639
GGGL,0811,"ALLSHR,KMIALLSHR",8.25,8.2,8.38,8.0,8.05,-0.2,-2.42%,1081814
AGHA,0808,ALLSHR,6.89,6.95,6.96,6.81,6.9,0.01,0.15%,1081136
BLUEX,0833,"ALLSHR,KMIALLSHR",6.7,6.71,6.8,6.61,6.66,-0.04,-0.60%,1050609
POWER,0804,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",22.89,23.0,23.4,22.45,22.72,-0.17,-0.74%,1046396
NCPL,0824,ALLSHR,59.36,59.36,59.75,58.01,58.17,-1.19,-2.00%,1032858
SNBL,0807,ALLSHR,20.89,20.9,20.9,20.3,20.36,-0.53,-2.54%,1031909
EFERT,0809,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,NBPPGI,PSXDIV20,UPP9",181.35,181.51,185.52,180.76,185.15,3.8,2.10%,1018839
BAHLXD,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,NBPPGI,NITPGI,PSXDIV20",162.55,163.0,164.9,160.75,161.16,-1.39,-0.85%,1014929
CSIL,0812,ALLSHR,5.75,5.8,5.95,5.65,5.68,-0.07,-1.22%,1010239
NRSL,0805,"ALLSHR,KMIALLSHR",40.07,40.1,42.99,39.35,42.11,2.04,5.09%,988942
UBL,0807,"ALLSHR,BKTI,JSGBKTI,JSMFI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20,UPP9",450.76,450.8,452.99,448.3,449.1,-1.66,-0.37%,984373
CEPB,0822,"ALLSHR,KMIALLSHR",27.53,27.55,27.75,27.25,27.55,0.02,0.07%,951712
STPL,0818,ALLSHR,8.63,8.64,8.8,8.47,8.53,-0.1,-1.16%,946176
PQGTL,0812,"ALLSHR,KMIALLSHR",14.0,14.0,14.24,12.81,13.19,-0.81,-5.79%,945076
TREET,0810,"ALLSHR,KMI30,KMIALLSHR",23.52,23.63,23.69,23.15,23.25,-0.27,-1.15%,928781
HICL,0812,ALLSHR,15.36,15.55,15.59,14.39,14.72,-0.64,-4.17%,927291
ILP,0829,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",108.67,109.0,109.75,105.7,106.18,-2.49,-2.29%,901474
TOMCL,0810,"ALLSHR,KMIALLSHR",36.74,37.1,37.1,36.2,36.36,-0.38,-1.03%,856042
GAL,0801,"ALLSHR,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30",641.4,642.02,663.0,642.02,657.04,15.64,2.44%,835827
MZNPETF,0837,,17.86,17.96,18.0,17.9,17.91,0.05,0.28%,826500
MIIETFXD,0837,,16.65,16.65,16.73,16.64,16.66,0.01,0.06%,808500
LUCK,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,UPP9",437.33,439.0,439.0,431.5,433.39,-3.94,-0.90%,803170
BIPLXD,0807,"ALLSHR,KMIALLSHR",26.77,26.77,27.25,26.05,26.37,-0.4,-1.49%,798102
CPHL,0823,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",75.16,75.04,75.5,73.5,73.94,-1.22,-1.62%,774666
PSX,0813,"ALLSHR,KSE100,KSE100PR",49.7,49.75,50.24,49.29,49.52,-0.18,-0.36%,715076
ALTN,0824,ALLSHR,7.63,7.67,7.89,7.45,7.59,-0.04,-0.52%,708523
FFLM,0819,"ALLSHR,KMIALLSHR",14.32,14.65,15.65,13.15,13.97,-0.35,-2.44%,704888
AGIL,0802,"ALLSHR,KMIALLSHR",154.77,154.9,170.25,152.55,170.25,15.48,10.00%,682543
HCAR,0801,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",247.11,249.0,249.0,239.0,240.03,-7.08,-2.86%,680045
